wordform,sum_freq,norm_freq,log_freq,sqrt_freq,Moby_pron,Rep_P,Rep_O
deck,12060,26.8,0.30420093,100,d/E/k,_/_/d/E/k/_/_/,_/_/d/e/c/k/_/_/
deed,1910,4.244444444,0.151611123,43.70354677,d/i/d,_/_/d/i/d/_/_/,_/_/d/e/e/d/_/_/
deem,741,1.646666667,0.089045371,27.22131518,d/i/m,_/_/d/i/m/_/_/,_/_/d/e/e/m/_/_/
deems,576,1.28,0.075402171,24,d/i/mz,_/_/d/i/m/z/_/,_/_/d/e/e/m/s/_/
deep,58716,130.48,0.446356714,100,d/i/p,_/_/d/i/p/_/_/,_/_/d/e/e/p/_/_/
deer,13509,30.02,0.314227662,100,d/i/r,_/_/d/i/r/_/_/,_/_/d/e/e/r/_/_/
deft,773,1.717777778,0.091471044,27.80287755,d/E/ft,_/_/d/E/f/t/_/,_/_/d/e/f/t/_/_/
deign,127,0.282222222,0.05,11.26942767,d/eI/n,_/_/d/e/n/_/_/,_/_/d/e/i/g/n/_/
delft,73,0.162222222,0.05,8.544003745,d/E/lft,_/_/d/E/l/f/t/,_/_/d/e/l/f/t/_/
delve,612,1.36,0.078557243,24.73863375,d/E/lv,_/_/d/E/l/v/_/,_/_/d/e/l/v/e/_/
den,3512,7.804444444,0.199009902,59.26212956,d/E/n,_/_/d/E/n/_/_/,_/_/d/e/n/_/_/_/
dens,377,0.837777778,0.055675679,19.41648784,d/E/nz,_/_/d/E/n/z/_/,_/_/d/e/n/s/_/_/
dense,5814,12.92,0.240917816,76.24959016,d/E/ns,_/_/d/E/n/s/_/,_/_/d/e/n/s/e/_/
dent,1656,3.68,0.141193273,40.6939799,d/E/nt,_/_/d/E/n/t/_/,_/_/d/e/n/t/_/_/
depth,10973,24.38444444,0.295884719,100,d/E/p/T/,_/_/d/E/p/T/_/,_/_/d/e/p/t/h/_/
desk,24752,55.00444444,0.368278678,100,d/E/sk,_/_/d/E/s/k/_/,_/_/d/e/s/k/_/_/
deuce,95,0.211111111,0.05,9.746794345,d/u/s,_/_/d/u/s/_/_/,_/_/d/e/u/c/e/_/
dew,1179,2.62,0.117696949,34.33656943,d/u/,_/_/d/u/_/_/_/,_/_/d/e/w/_/_/_/
dhow,24,0.053333333,0.05,4.898979486,d/AU/,_/_/d/A/_/_/_/,_/d/h/o/w/_/_/_/
dice,2335,5.188888889,0.16676028,48.32183771,d/aI/s,_/_/d/Y/s/_/_/,_/_/d/i/c/e/_/_/
dick,1147,2.548888889,0.115881876,33.86738844,d/I/k,_/_/d/I/k/_/_/,_/_/d/i/c/k/_/_/
did,772423,1716.495556,0.681459647,100,d/I/d,_/_/d/I/d/_/_/,_/_/d/i/d/_/_/_/
die,40411,89.80222222,0.412490506,100,d/aI/,_/_/d/Y/_/_/_/,_/_/d/i/e/_/_/_/
dies,5107,11.34888889,0.22996116,71.46327728,d/aI/z,_/_/d/Y/z/_/_/,_/_/d/i/e/s/_/_/
dig,7318,16.26222222,0.260605466,85.54530963,d/I/g,_/_/d/I/g/_/_/,_/_/d/i/g/_/_/_/
dike,284,0.631111111,0.05,16.85229955,d/aI/k,_/_/d/Y/k/_/_/,_/_/d/i/k/e/_/_/
dill,1023,2.273333333,0.108487291,31.98437118,d/I/l,_/_/d/I/l/_/_/,_/_/d/i/l/l/_/_/
dim,5056,11.23555556,0.229117642,71.10555534,d/I/m,_/_/d/I/m/_/_/,_/_/d/i/m/_/_/_/
dime,2478,5.506666667,0.171341243,49.77951386,d/aI/m,_/_/d/Y/m/_/_/,_/_/d/i/m/e/_/_/
din,1478,3.284444444,0.133114222,38.44476557,d/I/n,_/_/d/I/n/_/_/,_/_/d/i/n/_/_/_/
dine,1500,3.333333333,0.134152261,38.72983346,d/aI/n,_/_/d/Y/n/_/_/,_/_/d/i/n/e/_/_/
dink,31,0.068888889,0.05,5.567764363,d/I/N/k,_/_/d/I/G/k/_/,_/_/d/i/n/k/_/_/
dint,207,0.46,0.05,14.38749457,d/I/nt,_/_/d/I/n/t/_/,_/_/d/i/n/t/_/_/
dip,4427,9.837777778,0.218019403,66.5357047,d/I/p,_/_/d/I/p/_/_/,_/_/d/i/p/_/_/_/
dire,3046,6.768888889,0.187562054,55.19057891,d/aI/r,_/_/d/Y/r/_/_/,_/_/d/i/r/e/_/_/
dirge,140,0.311111111,0.05,11.83215957,d/@/r/dZ/,_/_/d/^/r/J/_/,_/_/d/i/r/g/e/_/
dirt,13897,30.88222222,0.316735934,100,d/@/rt,_/_/d/^/r/t/_/,_/_/d/i/r/t/_/_/
disc,4277,9.504444444,0.215161361,65.39877675,d/I/sk,_/_/d/I/s/k/_/,_/_/d/i/s/c/_/_/
dish,11953,26.56222222,0.303415053,100,d/I/S/,_/_/d/I/S/_/_/,_/_/d/i/s/h/_/_/
dished,234,0.52,0.05,15.29705854,d/I/S/t,_/_/d/I/S/t/_/,_/_/d/i/s/h/e/d/
disk,6338,14.08444444,0.248267724,79.61155695,d/I/sk,_/_/d/I/s/k/_/,_/_/d/i/s/k/_/_/
dit,77,0.171111111,0.05,8.774964387,d/I/t,_/_/d/I/t/_/_/,_/_/d/i/t/_/_/_/
ditch,3040,6.755555556,0.187404903,55.13619501,d/I/tS/,_/_/d/I/C/_/_/,_/_/d/i/t/c/h/_/
dive,4205,9.344444444,0.213757126,64.84597135,d/aI/v,_/_/d/Y/v/_/_/,_/_/d/i/v/e/_/_/
do,1520565,3379.033333,0.743398714,100,d/u/,_/_/d/u/_/_/_/,_/_/d/o/_/_/_/_/
doc,4804,10.67555556,0.224831546,69.3108938,d/A/k,_/_/d/a/k/_/_/,_/_/d/o/c/_/_/_/
dock,4957,11.01555556,0.227457684,70.40596566,d/A/k,_/_/d/a/k/_/_/,_/_/d/o/c/k/_/_/
dodge,1231,2.735555556,0.120571733,35.08560959,d/A/dZ/,_/_/d/a/J/_/_/,_/_/d/o/d/g/e/_/
does,367907,817.5711111,0.613661344,100,d/@/z,_/_/d/^/z/_/_/,_/_/d/o/e/s/_/_/
doff,47,0.104444444,0.05,6.8556546,d/A/f,_/_/d/a/f/_/_/,_/_/d/o/f/f/_/_/
dog,40202,89.33777778,0.412021353,100,d/O/g,_/_/d/a/g/_/_/,_/_/d/o/g/_/_/_/
doit,44,0.097777778,0.05,6.633249581,d/Oi/t,_/_/d/O/t/_/_/,_/_/d/o/i/t/_/_/
dole,403,0.895555556,0.058507677,20.0748599,d/oU/l,_/_/d/o/l/_/_/,_/_/d/o/l/e/_/_/
doll,5287,11.74888889,0.232877618,72.71175971,d/A/l,_/_/d/a/l/_/_/,_/_/d/o/l/l/_/_/
dolt,83,0.184444444,0.05,9.110433579,d/oU/lt,_/_/d/o/l/t/_/,_/_/d/o/l/t/_/_/
dome,4817,10.70444444,0.225057636,69.4046108,d/oU/m,_/_/d/o/m/_/_/,_/_/d/o/m/e/_/_/
domed,558,1.24,0.073782872,23.62202362,d/oU/md,_/_/d/o/m/d/_/,_/_/d/o/m/e/d/_/
don,2176,4.835555556,0.161382057,46.64761516,d/A/n,_/_/d/a/n/_/_/,_/_/d/o/n/_/_/_/
done,145306,322.9022222,0.528841109,100,d/@/n,_/_/d/^/n/_/_/,_/_/d/o/n/e/_/_/
dong,60,0.133333333,0.05,7.745966692,d/A/N/,_/_/d/a/G/_/_/,_/_/d/o/n/g/_/_/
doom,2081,4.624444444,0.158010972,45.61797891,d/u/m,_/_/d/u/m/_/_/,_/_/d/o/o/m/_/_/
dooms,78,0.173333333,0.05,8.831760866,d/u/mz,_/_/d/u/m/z/_/,_/_/d/o/o/m/s/_/
door,118911,264.2466667,0.510563499,100,d/oU/r,_/_/d/o/r/_/_/,_/_/d/o/o/r/_/_/
dope,1616,3.591111111,0.139438895,40.19950248,d/oU/p,_/_/d/o/p/_/_/,_/_/d/o/p/e/_/_/
dorm,2104,4.675555556,0.158838597,45.86937976,d/O/rm,_/_/d/o/r/m/_/,_/_/d/o/r/m/_/_/
dose,6250,13.88888889,0.247073913,79.0569415,d/oU/s,_/_/d/o/s/_/_/,_/_/d/o/s/e/_/_/
dot,4187,9.304444444,0.213402673,64.70703208,d/A/t,_/_/d/a/t/_/_/,_/_/d/o/t/_/_/_/
dote,83,0.184444444,0.05,9.110433579,d/oU/t,_/_/d/o/t/_/_/,_/_/d/o/t/e/_/_/
doth,315,0.7,0.05,17.74823935,d/@/T/,_/_/d/^/T/_/_/,_/_/d/o/t/h/_/_/
doubt,23861,53.02444444,0.364985619,100,d/AU/t,_/_/d/A/t/_/_/,_/_/d/o/u/b/t/_/
douche,101,0.224444444,0.05,10.04987562,d/u/S/,_/_/d/u/S/_/_/,_/_/d/o/u/c/h/e/
dough,7763,17.25111111,0.265701855,88.10788841,d/oU/,_/_/d/o/_/_/_/,_/_/d/o/u/g/h/_/
dour,537,1.193333333,0.071856738,23.17326045,d/U/r,_/_/d/U/r/_/_/,_/_/d/o/u/r/_/_/
douse,261,0.58,0.05,16.15549442,d/AU/s,_/_/d/A/s/_/_/,_/_/d/o/u/s/e/_/
dove,2480,5.511111111,0.171403713,49.79959839,d/@/v,_/_/d/^/v/_/_/,_/_/d/o/v/e/_/_/
down,429864,955.2533333,0.627884307,100,d/AU/n,_/_/d/A/n/_/_/,_/_/d/o/w/n/_/_/
doze,374,0.831111111,0.055343197,19.33907961,d/oU/z,_/_/d/o/z/_/_/,_/_/d/o/z/e/_/_/
drab,1013,2.251111111,0.107864073,31.82766093,dr/&/b,_/d/r/@/b/_/_/,_/d/r/a/b/_/_/_/
draft,15414,34.25333333,0.325931534,100,dr/&/ft,_/d/r/@/f/t/_/,_/d/r/a/f/t/_/_/
drag,7819,17.37555556,0.266323545,88.42510956,dr/&/g,_/d/r/@/g/_/_/,_/d/r/a/g/_/_/_/
drain,7963,17.69555556,0.267903044,89.2356431,dr/eI/n,_/d/r/e/n/_/_/,_/d/r/a/i/n/_/_/
drake,1713,3.806666667,0.143636528,41.38840417,dr/eI/k,_/d/r/e/k/_/_/,_/d/r/a/k/e/_/_/
dram,196,0.435555556,0.05,14,dr/&/m,_/d/r/@/m/_/_/,_/d/r/a/m/_/_/_/
drank,6630,14.73333333,0.252120976,81.42481194,dr/&/N/k,_/d/r/@/G/k/_/,_/d/r/a/n/k/_/_/
drape,711,1.58,0.086711366,26.66458325,dr/eI/p,_/d/r/e/p/_/_/,_/d/r/a/p/e/_/_/
draught,158,0.351111111,0.05,12.56980509,dr/&/ft,_/d/r/@/f/t/_/,_/d/r/a/u/g/h/t/
draw,22878,50.84,0.361209491,100,dr/O/,_/d/r/a/_/_/_/,_/d/r/a/w/_/_/_/
drawer,5028,11.17333333,0.228651206,70.9083916,dr/O/r,_/d/r/a/r/_/_/,_/d/r/a/w/e/r/_/
drawl,621,1.38,0.079329298,24.91987159,dr/O/l,_/d/r/a/l/_/_/,_/d/r/a/w/l/_/_/
drawn,20082,44.62666667,0.349529243,100,dr/O/n,_/d/r/a/n/_/_/,_/d/r/a/w/n/_/_/
dray,102,0.226666667,0.05,10.09950494,dr/eI/,_/d/r/e/_/_/_/,_/d/r/a/y/_/_/_/
dread,2688,5.973333333,0.177678257,51.84592559,dr/E/d,_/d/r/E/d/_/_/,_/d/r/e/a/d/_/_/
dream,33414,74.25333333,0.395306903,100,dr/i/m,_/d/r/i/m/_/_/,_/d/r/e/a/m/_/_/
dreams,17155,38.12222222,0.335458232,100,dr/i/mz,_/d/r/i/m/z/_/,_/d/r/e/a/m/s/_/
dreamt,640,1.422222222,0.080938106,25.29822128,dr/E/mt,_/d/r/E/m/t/_/,_/d/r/e/a/m/t/_/
drear,17,0.037777778,0.05,4.123105626,dr/i/r,_/d/r/i/r/_/_/,_/d/r/e/a/r/_/_/
dreck,48,0.106666667,0.05,6.92820323,dr/E/k,_/d/r/E/k/_/_/,_/d/r/e/c/k/_/_/
dredge,717,1.593333333,0.087182955,26.77685568,dr/E/dZ/,_/d/r/E/J/_/_/,_/d/r/e/d/g/e/_/
dregs,287,0.637777778,0.05,16.94107435,dr/E/gz,_/d/r/E/g/z/_/,_/d/r/e/g/s/_/_/
drench,60,0.133333333,0.05,7.745966692,dr/E/n/tS/,_/d/r/E/n/C/_/,_/d/r/e/n/c/h/_/
dress,27549,61.22,0.377907374,100,dr/E/s,_/d/r/E/s/_/_/,_/d/r/e/s/s/_/_/
drew,16085,35.74444444,0.329721604,100,dr/u/,_/d/r/u/_/_/_/,_/d/r/e/w/_/_/_/
dried,10870,24.15555556,0.29505604,100,dr/aI/d,_/d/r/Y/d/_/_/,_/d/r/i/e/d/_/_/
drift,4481,9.957777778,0.219026826,66.94027188,dr/I/ft,_/d/r/I/f/t/_/,_/d/r/i/f/t/_/_/
drill,6020,13.37777778,0.243878108,77.58865897,dr/I/l,_/d/r/I/l/_/_/,_/d/r/i/l/l/_/_/
drink,28688,63.75111111,0.3815554,100,dr/I/N/k,_/d/r/I/G/k/_/,_/d/r/i/n/k/_/_/
drip,1881,4.18,0.150479942,43.37049688,dr/I/p,_/d/r/I/p/_/_/,_/d/r/i/p/_/_/_/
drive,55738,123.8622222,0.441631921,100,dr/aI/v,_/d/r/Y/v/_/_/,_/d/r/i/v/e/_/_/
drogue,31,0.068888889,0.05,5.567764363,dr/oU/g,_/d/r/o/g/_/_/,_/d/r/o/g/u/e/_/
droll,257,0.571111111,0.05,16.03121954,dr/oU/l,_/d/r/o/l/_/_/,_/d/r/o/l/l/_/_/
drone,1419,3.153333333,0.130270805,37.6696164,dr/oU/n,_/d/r/o/n/_/_/,_/d/r/o/n/e/_/_/
drool,432,0.96,0.061566351,20.78460969,dr/u/l,_/d/r/u/l/_/_/,_/d/r/o/o/l/_/_/
droop,290,0.644444444,0.05,17.02938637,dr/u/p,_/d/r/u/p/_/_/,_/d/r/o/o/p/_/_/
drop,28745,63.87777778,0.381734195,100,dr/A/p,_/d/r/a/p/_/_/,_/d/r/o/p/_/_/_/
dross,68,0.151111111,0.05,8.246211251,dr/O/s,_/d/r/a/s/_/_/,_/d/r/o/s/s/_/_/
drought,4402,9.782222222,0.21754922,66.34756966,dr/AU/t,_/d/r/A/t/_/_/,_/d/r/o/u/g/h/t/
drove,20613,45.80666667,0.351865234,100,dr/oU/v,_/d/r/o/v/_/_/,_/d/r/o/v/e/_/_/
drown,1885,4.188888889,0.150636801,43.41658669,dr/AU/n,_/d/r/A/n/_/_/,_/d/r/o/w/n/_/_/
drowse,16,0.035555556,0.05,4,dr/AU/z,_/d/r/A/z/_/_/,_/d/r/o/w/s/e/_/
drudge,131,0.291111111,0.05,11.44552314,dr/@/dZ/,_/d/r/^/J/_/_/,_/d/r/u/d/g/e/_/
drug,58449,129.8866667,0.445942919,100,dr/@/g,_/d/r/^/g/_/_/,_/d/r/u/g/_/_/_/
drum,4557,10.12666667,0.220426146,67.50555533,dr/@/m,_/d/r/^/m/_/_/,_/d/r/u/m/_/_/_/
drunk,10685,23.74444444,0.293548521,100,dr/@/N/k,_/d/r/^/G/k/_/,_/d/r/u/n/k/_/_/
dry,31762,70.58222222,0.390731272,100,dr/aI/,_/d/r/Y/_/_/_/,_/d/r/y/_/_/_/_/
dub,313,0.695555556,0.05,17.69180601,d/@/b,_/_/d/^/b/_/_/,_/_/d/u/b/_/_/_/
duck,6583,14.62888889,0.251511615,81.13568882,d/@/k,_/_/d/^/k/_/_/,_/_/d/u/c/k/_/_/
duct,1815,4.033333333,0.147852168,42.60281681,d/@/kt,_/_/d/^/k/t/_/,_/_/d/u/c/t/_/_/
dud,304,0.675555556,0.05,17.43559577,d/@/d,_/_/d/^/d/_/_/,_/_/d/u/d/_/_/_/
dude,3762,8.36,0.20460793,61.3351449,d/u/d,_/_/d/u/d/_/_/,_/_/d/u/d/e/_/_/
duds,382,0.848888889,0.056227146,19.54482029,d/@/dz,_/_/d/^/d/z/_/,_/_/d/u/d/s/_/_/
due,39829,88.50888889,0.411178036,100,d/u/,_/_/d/u/_/_/_/,_/_/d/u/e/_/_/_/
dug,5750,12.77777778,0.239978265,75.82875444,d/@/g,_/_/d/^/g/_/_/,_/_/d/u/g/_/_/_/
duke,11677,25.94888889,0.301356206,100,d/u/k,_/_/d/u/k/_/_/,_/_/d/u/k/e/_/_/
dull,5677,12.61555556,0.238894676,75.34586916,d/@/l,_/_/d/^/l/_/_/,_/_/d/u/l/l/_/_/
dumb,5571,12.38,0.237298038,74.63913183,d/@/m,_/_/d/^/m/_/_/,_/_/d/u/m/b/_/_/
dump,4955,11.01111111,0.227423837,70.39176088,d/@/mp,_/_/d/^/m/p/_/,_/_/d/u/m/p/_/_/
dumps,1228,2.728888889,0.120408313,35.04283094,d/@/mps,_/_/d/^/m/p/s/,_/_/d/u/m/p/s/_/
dun,404,0.897777778,0.058614869,20.09975124,d/@/n,_/_/d/^/n/_/_/,_/_/d/u/n/_/_/_/
dunce,117,0.26,0.05,10.81665383,d/@/ns,_/_/d/^/n/s/_/,_/_/d/u/n/c/e/_/
dune,905,2.011111111,0.100848071,30.08321791,d/u/n,_/_/d/u/n/_/_/,_/_/d/u/n/e/_/_/
dung,883,1.962222222,0.099350466,29.71531592,d/@/N/,_/_/d/^/G/_/_/,_/_/d/u/n/g/_/_/
dunk,1030,2.288888889,0.108921031,32.09361307,d/@/N/k,_/_/d/^/G/k/_/,_/_/d/u/n/k/_/_/
dupe,189,0.42,0.05,13.74772708,d/u/p,_/_/d/u/p/_/_/,_/_/d/u/p/e/_/_/
durn,36,0.08,0.05,6,d/@/rn,_/_/d/^/r/n/_/,_/_/d/u/r/n/_/_/
dusk,4030,8.955555556,0.210251409,63.48228099,d/@/sk,_/_/d/^/s/k/_/,_/_/d/u/s/k/_/_/
dust,18588,41.30666667,0.342617537,100,d/@/st,_/_/d/^/s/t/_/,_/_/d/u/s/t/_/_/
dutch,7752,17.22666667,0.265579239,88.04544281,d/@/tS/,_/_/d/^/C/_/_/,_/_/d/u/t/c/h/_/
dwarf,2554,5.675555556,0.173685636,50.53711507,dw/O/rf,_/d/w/o/r/f/_/,_/d/w/a/r/f/_/_/
dwarves,272,0.604444444,0.05,16.4924225,dw/oU/rvz,_/d/w/o/r/v/z/,_/d/w/a/r/v/e/s/
dwell,1836,4.08,0.148696494,42.84857057,dw/E/l,_/d/w/E/l/_/_/,_/d/w/e/l/l/_/_/
dwelt,283,0.628888889,0.05,16.82260384,dw/E/lt,_/d/w/E/l/t/_/,_/d/w/e/l/t/_/_/
dye,1473,3.273333333,0.132876652,38.37968212,d/aI/,_/_/d/Y/_/_/_/,_/_/d/y/e/_/_/_/
each,287102,638.0044444,0.591004442,100,/i/tS/,_/_/_/i/C/_/_/,_/_/_/e/a/c/h/_/
ear,17957,39.90444444,0.339533847,100,/i/r,_/_/_/i/r/_/_/,_/_/_/e/a/r/_/_/
eared,34,0.075555556,0.05,5.830951895,/i/rd,_/_/_/i/r/d/_/,_/_/_/e/a/r/e/d/
earl,5861,13.02444444,0.241601706,76.55716818,/@/rl,_/_/_/^/r/l/_/,_/_/_/e/a/r/l/_/
earn,11157,24.79333333,0.297346652,100,/@/rn,_/_/_/^/r/n/_/,_/_/_/e/a/r/n/_/
earth,55744,123.8755556,0.44164169,100,/@/r/T/,_/_/_/^/r/T/_/,_/_/_/e/a/r/t/h/
ease,12287,27.30444444,0.305846142,100,/i/z,_/_/_/i/z/_/_/,_/_/_/e/a/s/e/_/
east,61010,135.5777778,0.449836872,100,/i/st,_/_/_/i/s/t/_/,_/_/_/e/a/s/t/_/
eat,44512,98.91555556,0.421240568,100,/i/t,_/_/_/i/t/_/_/,_/_/_/e/a/t/_/_/
eats,3607,8.015555556,0.201177696,60.058305,/i/ts,_/_/_/i/t/s/_/,_/_/_/e/a/t/s/_/
eave,81,0.18,0.05,9,/i/v,_/_/_/i/v/_/_/,_/_/_/e/a/v/e/_/
eaves,645,1.433333333,0.081356816,25.3968502,/i/vz,_/_/_/i/v/z/_/,_/_/_/e/a/v/e/s/
ebb,813,1.806666667,0.094415402,28.51315486,/E/b,_/_/_/E/b/_/_/,_/_/_/e/b/b/_/_/
edge,37445,83.21111111,0.405596255,100,/E/dZ/,_/_/_/E/J/_/_/,_/_/_/e/d/g/e/_/
eel,639,1.42,0.080854134,25.27844932,/i/l,_/_/_/i/l/_/_/,_/_/_/e/e/l/_/_/
egg,14840,32.97777778,0.322559893,100,/E/g,_/_/_/E/g/_/_/,_/_/_/e/g/g/_/_/
eh,2612,5.804444444,0.175435212,51.10772936,/eI/,_/_/_/e/_/_/_/,_/_/_/e/h/_/_/_/
eight,58249,129.4422222,0.44563173,100,/eI/t,_/_/_/e/t/_/_/,_/_/_/e/i/g/h/t/
eke,258,0.573333333,0.05,16.0623784,/i/k,_/_/_/i/k/_/_/,_/_/_/e/k/e/_/_/
eld,67,0.148888889,0.05,8.185352772,/E/ld,_/_/_/E/l/d/_/,_/_/_/e/l/d/_/_/
elf,1339,2.975555556,0.126268504,36.59234893,/E/lf,_/_/_/E/l/f/_/,_/_/_/e/l/f/_/_/
elk,3947,8.771111111,0.208540532,62.8251542,/E/lk,_/_/_/E/l/k/_/,_/_/_/e/l/k/_/_/
elm,1028,2.284444444,0.108797315,32.06243908,/E/lm,_/_/_/E/l/m/_/,_/_/_/e/l/m/_/_/
else,101079,224.62,0.495760003,100,/E/ls,_/_/_/E/l/s/_/,_/_/_/e/l/s/e/_/
elves,930,2.066666667,0.102520659,30.49590136,/E/lvz,_/_/_/E/l/v/z/,_/_/_/e/l/v/e/s/
em,2725,6.055555556,0.178750677,52.20153254,/E/m,_/_/_/E/m/_/_/,_/_/_/e/m/_/_/_/
end,188673,419.2733333,0.552670406,100,/E/nd,_/_/_/E/n/d/_/,_/_/_/e/n/d/_/_/
ere,427,0.948888889,0.061046236,20.66397832,/@/r,_/_/_/E/r/_/_/,_/_/_/e/r/e/_/_/
erg,40,0.088888889,0.05,6.32455532,/E/rg,_/_/_/E/r/g/_/,_/_/_/e/r/g/_/_/
err,557,1.237777778,0.073692065,23.60084744,/@/r,_/_/_/E/r/_/_/,_/_/_/e/r/r/_/_/
etch,156,0.346666667,0.05,12.489996,/E/tS/,_/_/_/E/C/_/_/,_/_/_/e/t/c/h/_/
eve,6551,14.55777778,0.251094397,80.93824807,/i/v,_/_/_/i/v/_/_/,_/_/_/e/v/e/_/_/
ewe,320,0.711111111,0.05,17.88854382,/j/u/,_/_/_/j/u/_/_/,_/_/_/e/w/e/_/_/
ex,2111,4.691111111,0.159089005,45.94562003,/E/ks,_/_/_/E/k/s/_/,_/_/_/e/x/_/_/_/
eye,47879,106.3977778,0.427847293,100,/aI/,_/_/_/Y/_/_/_/,_/_/_/e/y/e/_/_/
eyed,2096,4.657777778,0.158551576,45.78209257,/aI/d,_/_/_/Y/d/_/_/,_/_/_/e/y/e/d/_/
face,160272,356.16,0.537783346,100,f/eI/s,_/_/f/e/s/_/_/,_/_/f/a/c/e/_/_/
fact,164805,366.2333333,0.540327954,100,f/&/kt,_/_/f/@/k/t/_/,_/_/f/a/c/t/_/_/
fad,926,2.057777778,0.102255091,30.43024811,f/&/d,_/_/f/@/d/_/_/,_/_/f/a/d/_/_/_/
fade,4536,10.08,0.220041627,67.34983296,f/eI/d,_/_/f/e/d/_/_/,_/_/f/a/d/e/_/_/
fag,271,0.602222222,0.05,16.46207763,f/&/g,_/_/f/@/g/_/_/,_/_/f/a/g/_/_/_/
fail,13434,29.85333333,0.313734783,100,f/eI/l,_/_/f/e/l/_/_/,_/_/f/a/i/l/_/_/
failed,32865,73.03333333,0.393811553,100,f/eI/ld,_/_/f/e/l/d/_/,_/_/f/a/i/l/e/d/
faille,38,0.084444444,0.05,6.164414003,f/aI/l,_/_/f/Y/l/_/_/,_/_/f/a/i/l/l/e/
fain,119,0.264444444,0.05,10.90871211,f/eI/n,_/_/f/e/n/_/_/,_/_/f/a/i/n/_/_/
faint,7105,15.78888889,0.258061813,84.29116205,f/eI/nt,_/_/f/e/n/t/_/,_/_/f/a/i/n/t/_/
faints,103,0.228888889,0.05,10.14889157,f/eI/nts,_/_/f/e/n/t/s/,_/_/f/a/i/n/t/s/
fair,36072,80.16,0.402219949,100,f/@/r,_/_/f/E/r/_/_/,_/_/f/a/i/r/_/_/
faith,32306,71.79111111,0.39226343,100,f/eI/T/,_/_/f/e/T/_/_/,_/_/f/a/i/t/h/_/
fake,6755,15.01111111,0.253722137,82.18880702,f/eI/k,_/_/f/e/k/_/_/,_/_/f/a/k/e/_/_/
fall,67551,150.1133333,0.45908959,100,f/O/l,_/_/f/a/l/_/_/,_/_/f/a/l/l/_/_/
falls,19010,42.24444444,0.344623329,100,f/O/lz,_/_/f/a/l/z/_/,_/_/f/a/l/l/s/_/
fame,10818,24.04,0.294634809,100,f/eI/m,_/_/f/e/m/_/_/,_/_/f/a/m/e/_/_/
famed,2537,5.637777778,0.173166423,50.36864104,f/eI/md,_/_/f/e/m/d/_/,_/_/f/a/m/e/d/_/
fan,15641,34.75777778,0.32723137,100,f/&/n,_/_/f/@/n/_/_/,_/_/f/a/n/_/_/_/
fang,870,1.933333333,0.098453856,29.49576241,f/&/N/,_/_/f/@/G/_/_/,_/_/f/a/n/g/_/_/
fanged,72,0.16,0.05,8.485281374,f/&/N/d,_/_/f/@/G/d/_/,_/_/f/a/n/g/e/d/
far,156397,347.5488889,0.535550548,100,f/A/r,_/_/f/a/r/_/_/,_/_/f/a/r/_/_/_/
farce,831,1.846666667,0.095710065,28.82707061,f/A/rs,_/_/f/a/r/s/_/,_/_/f/a/r/c/e/_/
fare,5564,12.36444444,0.237191613,74.5922248,f/@/r,_/_/f/E/r/_/_/,_/_/f/a/r/e/_/_/
farm,26174,58.16444444,0.373300428,100,f/A/rm,_/_/f/a/r/m/_/,_/_/f/a/r/m/_/_/
fart,477,1.06,0.066118932,21.84032967,f/A/rt,_/_/f/a/r/t/_/,_/_/f/a/r/t/_/_/
fast,42288,93.97333333,0.416599452,100,f/&/st,_/_/f/@/s/t/_/,_/_/f/a/s/t/_/_/
fat,43762,97.24888889,0.419701608,100,f/&/t,_/_/f/@/t/_/_/,_/_/f/a/t/_/_/_/
fate,11236,24.96888889,0.297967231,100,f/eI/t,_/_/f/e/t/_/_/,_/_/f/a/t/e/_/_/
fats,2432,5.404444444,0.169892521,49.31531202,f/&/ts,_/_/f/@/t/s/_/,_/_/f/a/t/s/_/_/
fault,11931,26.51333333,0.303252631,100,f/O/lt,_/_/f/a/l/t/_/,_/_/f/a/u/l/t/_/
faun,99,0.22,0.05,9.949874371,f/O/n,_/_/f/a/n/_/_/,_/_/f/a/u/n/_/_/
fawn,527,1.171111111,0.07092508,22.95648057,f/O/n,_/_/f/a/n/_/_/,_/_/f/a/w/n/_/_/
faze,254,0.564444444,0.05,15.93737745,f/eI/z,_/_/f/e/z/_/_/,_/_/f/a/z/e/_/_/
fear,49109,109.1311111,0.430146578,100,f/i/r,_/_/f/i/r/_/_/,_/_/f/e/a/r/_/_/
feast,3811,8.468888889,0.205666106,61.73329734,f/i/st,_/_/f/i/s/t/_/,_/_/f/e/a/s/t/_/
feat,2298,5.106666667,0.165536674,47.93745926,f/i/t,_/_/f/i/t/_/_/,_/_/f/e/a/t/_/_/
fed,14261,31.69111111,0.319028135,100,f/E/d,_/_/f/E/d/_/_/,_/_/f/e/d/_/_/_/
fee,10381,23.06888889,0.29101605,100,f/i/,_/_/f/i/_/_/_/,_/_/f/e/e/_/_/_/
feed,15164,33.69777778,0.324478298,100,f/i/d,_/_/f/i/d/_/_/,_/_/f/e/e/d/_/_/
feel,156008,346.6844444,0.535323365,100,f/i/l,_/_/f/i/l/_/_/,_/_/f/e/e/l/_/_/
feet,92165,204.8111111,0.487352863,100,f/i/t,_/_/f/i/t/_/_/,_/_/f/e/e/t/_/_/
